date,game,seat,name,role,lover,dying,deathday,lucky,win,see,badge,season,hand,extra_score,follow
2017/10/6,1,1,。。。。,V,,,,,1,,,1,,,
2017/10/6,1,2,未知玩家22,W,,,,,,,,1,,,
2017/10/6,1,3,未知玩家23,WB,,P,2,,,,,1,,,
2017/10/6,1,4,表水,N,,,,,1,,,1,,2,
2017/10/6,1,5,未知玩家24,Witch,,,,,1,,,1,,,
2017/10/6,1,6,小北,S,,,,,1,,,1,,,
2017/10/6,1,7,未知玩家20,W,,N,1,,,,,1,,,
2017/10/6,1,8,未知玩家0,V,,,,,1,,,1,,,
2017/10/6,1,9,祁祁,V,,,,,1,,,1,,,
2017/10/6,1,10,未知玩家25,FB,,K,2,KR1,1,,,1,,,
2017/10/6,1,11,Leoben,W,,,,,,,,1,,,
2017/10/6,1,12,小丹,V,,,,,1,,,1,,,
2017/10/6,2,1,。。。。,W,,,,,1,,,1,,,
2017/10/6,2,2,未知玩家22,V,,,,,,,,1,,,
2017/10/6,2,3,未知玩家23,FB,,,,,,,,1,,,
2017/10/6,2,4,表水,W,,,,,1,,,1,,,
2017/10/6,2,5,未知玩家24,V,,,,,,,,1,,,
2017/10/6,2,6,小北,V,,,,,,,,1,,,
2017/10/6,2,7,未知玩家20,Witch,,L,1,,,,,1,,,
2017/10/6,2,8,未知玩家26,V,,,,,,,,1,,,
2017/10/6,2,9,祁祁,S,,K,2,KR1,,,,1,,,
2017/10/6,2,10,未知玩家25,WB,,E,1,,1,,,1,,,
2017/10/6,2,11,Leoben,W,,,,,1,,,1,,,
2017/10/6,2,12,小丹,N,,,,,,,,1,,,
2017/10/6,3,1,。。。。,W,,Ex,1,,,,,1,,,
2017/10/6,3,2,未知玩家22,W,,E,3,,,,,1,,,
2017/10/6,3,3,未知玩家23,W,,Ex,2,,,,,1,,,
2017/10/6,3,4,大红豆,N,,,,,1,,,1,,,
2017/10/6,3,5,未知玩家20,V,,K,4,,1,,,1,,,
2017/10/6,3,6,未知玩家24,V,,,,,1,,,1,,,
2017/10/6,3,7,小北,Witch,,,,,1,,,1,,,
2017/10/6,3,8,未知玩家26,V,,,,,1,,,1,,,
2017/10/6,3,9,祁祁,F,,,,,,,,1,,,1
2017/10/6,3,10,未知玩家25,W,,N,4,,,,,1,,,
2017/10/6,3,11,铁头蒙,G,,W,2,KG2,1,,,1,,,
2017/10/6,3,12,Leoben,V,,,,KR1,1,,,1,,,
2017/10/6,3,13,小丹,S,,K,3,,1,,,1,,,
2017/10/6,4,1,大红豆,V,,,,,1,,,1,,,
2017/10/6,4,2,未知玩家22,WW,,Ex,2,,,,,1,,,
2017/10/6,4,3,铁头蒙,V,,K,1,,1,,,1,,,
2017/10/6,4,4,表水,V,,,,,1,,,1,,,
2017/10/6,4,5,未知玩家20,N,,N,2,,1,,,1,,,
2017/10/6,4,6,未知玩家24,W,,,,,,,,1,,,
2017/10/6,4,7,小北,V,,K,3,,1,,,1,,,
2017/10/6,4,8,未知玩家26,W,,P,1,,,,,1,,,
2017/10/6,4,9,祁祁,Witch,,,,,1,,,1,,2,
2017/10/6,4,10,未知玩家25,W,,E,3,,,,,1,,,
2017/10/6,4,11,Leoben,G,,,,,1,,,1,,,
2017/10/6,4,12,小丹,S,,W,2,,1,,,1,,,
2017/10/6,5,1,大红豆,W,,E,4,,,,,1,,,
2017/10/6,5,2,高佩,W,,Ex,3,,,,,1,,,
2017/10/6,5,3,铁头蒙,W,,Ex,2,,,,,1,,,
2017/10/6,5,4,表水,H,,,,,1,,,1,,,
2017/10/6,5,5,未知玩家20,V,,,,,1,,,1,,,
2017/10/6,5,6,未知玩家24,I,,K,2,,1,,,1,,,
2017/10/6,5,7,小北,Witch,,K,3,,1,,,1,,-1,
2017/10/6,5,8,未知玩家26,V,,K,5,KR1,1,,,1,,,
2017/10/6,5,9,祁祁,S,,E,1,,1,,,1,,,
2017/10/6,5,10,未知玩家25,V,,K,4,,1,,,1,,,
2017/10/6,5,11,Leoben,V,,P,2,,1,,,1,,,
2017/10/6,5,12,小丹,W,,E,5,,,,,1,,,
